cluster[object],x[int64],y[int64],cell[int64],center[object]
c1,52,31,2023,N
c1,47,113,2025,N
c1,47,1,2026,N
c1,53,21,2029,N
c1,80,53,2033,N
c1,49,124,2034,N
c1,49,60,2035,N
c1,53,58,2036,N
c1,50,116,2037,N
c1,87,57,2040,N
c1,50,2,2041,N
c1,50,18,2042,N
c1,50,79,2051,N
c1,69,125,2053,N
c1,67,94,2055,N
c1,57,24,2059,N
c1,75,47,2060,N
c1,64,108,2062,N
c1,45,101,2068,N
c1,53,85,2069,N
c1,43,99,2071,N
c1,51,0,2074,N
c1,44,31,2075,N
c1,73,70,2077,N
c1,73,71,2078,N
c1,66,10,2080,N
c1,51,31,2081,N
c1,48,24,2083,N
c1,49,101,2084,N
c1,72,32,2085,N
c1,49,24,2087,N
c1,53,29,2088,N
c1,69,79,2094,N
c1,70,32,2096,N
c1,53,63,2099,N
c1,57,106,2101,N
c1,50,61,2106,N
c1,62,53,2107,N
c1,62,79,2108,N
c1,53,31,2110,N
c1,65,125,2114,N
c1,55,73,2115,N
c1,51,84,2116,N
c1,68,10,2117,N
c1,71,80,2120,N
c1,50,26,2124,N
c1,53,60,2125,N
c1,48,25,2126,N
c1,64,89,2127,N
c1,50,121,2129,N
c1,53,14,2130,N
c1,54,30,2131,N
c1,56,11,2137,N
c1,77,62,2141,N
c1,84,48,2142,N
c1,53,59,2143,N
c1,47,119,2144,N
c1,53,32,2145,N
c1,49,47,2148,N
c1,51,32,2149,N
c1,52,61,2152,N
c1,45,63,2153,N
c1,54,28,2154,N
c1,78,73,2155,N
c1,48,121,2156,N
c1,48,26,2158,N
c1,72,90,2161,N
c1,52,32,2163,N
c1,83,64,2164,N
c1,79,65,2165,N
c1,43,127,2167,N
c1,70,12,2168,N
c1,49,53,2169,N
c1,47,24,2171,N
c1,50,32,2174,N
c1,59,113,2179,N
c1,42,114,2183,N
c1,70,11,2184,N
c1,47,9,2187,N
c1,48,126,2193,N
c1,41,99,2194,N
c1,54,68,2196,N
c1,78,48,2197,N
c1,77,71,2199,N
c1,55,72,2200,N
c1,53,79,2201,N
c1,76,56,2202,N
c1,53,91,2203,N
c1,54,31,2204,N
c1,51,122,2205,N
c1,50,15,2209,N
c1,52,33,2211,N
c1,53,106,2212,N
c1,49,32,2217,N
c1,78,55,2221,N
c1,55,26,2222,N
c1,48,59,2225,N
c1,43,102,2227,N
c1,61,4,2228,N
c1,61,25,2229,N
c1,70,76,2231,N
c1,68,33,2233,N
c1,48,122,2235,N
c1,49,109,2237,N
c1,49,72,2239,N
c1,53,64,2243,N
c1,51,57,2244,N
c1,81,66,2245,N
c1,65,100,2247,N
c1,62,47,2250,Y
c1,68,8,2255,N
c1,78,54,2256,N
c1,68,32,2257,N
c1,46,31,2259,N
c1,51,51,2261,N
c1,48,114,2262,N
c1,48,66,2268,N
c1,50,31,2269,N
c1,54,32,2270,N
c1,79,64,2272,N
c1,48,1,2274,N
c1,47,111,2275,N
c1,49,20,2279,N
c1,63,75,2280,N
c1,52,120,2281,N
c1,53,101,2282,N
c1,75,60,2284,N
c1,55,29,2286,N
c1,67,81,2289,N
c1,55,74,2290,N
c1,53,33,2293,N
c1,60,28,2294,N
c1,49,71,2296,N
c1,77,68,2297,N
c1,49,81,2298,N
c1,49,66,2299,N
c1,41,98,2300,N
c1,77,58,2304,N
c1,80,60,2305,N
c1,80,46,2306,N
c1,47,65,2307,N
c1,52,105,2308,N
c1,48,8,2312,N
c1,62,57,2314,N
c1,38,100,2318,N
c1,53,108,2319,N
c1,48,18,2322,N
c1,47,58,2323,N
c1,50,102,2324,N
c1,86,68,2326,N
c1,79,66,2327,N
c1,48,125,2328,N
c1,52,67,2329,N
c1,78,44,2330,N
c1,47,121,2331,N
c1,55,31,2332,N
c1,80,64,2335,N
c1,61,27,2336,N
c1,77,66,2337,N
c1,48,69,2339,N
c1,52,84,2340,N
c1,62,17,2342,N
c1,48,6,2344,N
c1,48,16,2345,N
c1,48,113,2347,N
c1,64,70,2348,N
c1,70,54,2349,N
c1,51,75,2350,N
c1,68,120,2354,N
c1,69,78,2357,N
c1,59,2,2362,N
c1,56,35,2366,N
c1,67,110,2368,N
c1,77,52,2371,N
c1,85,69,2372,N
c1,46,125,2373,N
c1,52,34,2376,N
c1,72,8,2378,N
c1,48,62,2379,N
c1,53,22,2380,N
c1,46,63,2383,N
c1,48,9,2388,N
c1,48,14,2391,N
c1,49,21,2393,N
c1,46,7,2397,N
c1,70,52,2399,N
c1,55,39,2400,N
c1,63,104,2402,N
c1,51,54,2404,N
c1,56,68,2406,N
c1,47,74,2408,N
c1,54,26,2411,N
c1,50,69,2415,N
c1,47,12,2418,N
c1,45,105,2419,N
c1,58,116,2421,N
c1,40,99,2425,N
c1,52,66,2428,N
c1,53,84,2430,N
c1,63,78,2431,N
c1,52,89,2433,N
c1,50,33,2434,N
c1,49,0,2436,N
c1,51,113,2440,N
c1,56,58,2442,N
c1,47,44,2444,N
c1,58,30,2445,N
c1,48,68,2448,N
c1,76,42,2450,N
c1,46,32,2451,N
c1,48,72,2453,N
c1,50,27,2454,N
c1,79,72,2456,N
c1,53,61,2459,N
c1,43,125,2460,N
c1,53,18,2462,N
c1,48,80,2466,N
c1,54,111,2467,N
c1,51,120,2470,N
c1,48,45,2473,N
c1,73,53,2480,N
c1,51,79,2484,N
